spend,race,income,age,sex,schoolYears
715.2436457410643,white,38511.0,34.0,male,0.0
883.7202547728479,other,280882.0,38.0,male,0.0
755.9156969031837,white,160952.0,48.0,female,0.0
652.6979715580263,white,73221.0,32.0,male,0.0
575.3591294272086,white,17415.0,29.0,male,0.0
546.2817578367931,white,68773.0,27.0,male,0.0
734.9868095490976,white,148745.0,43.0,female,0.0
844.29162940289,hispanic,45434.0,33.0,male,0.0
732.479831687102,white,118563.0,44.0,female,0.0
837.4598583351899,white,52419.0,38.0,male,0.0
803.313962176519,white,109755.0,51.0,female,0.0
833.6785688238409,white,46673.0,56.0,female,0.0
854.0149856407365,hispanic,59781.0,58.0,female,0.0
770.3913326505192,hispanic,342622.0,46.0,female,0.0
471.81630488478754,black,15238.0,43.0,female,0.0
895.7325661908751,hispanic,40041.0,35.0,male,0.0
634.7058325206157,black,93596.0,31.0,male,0.0
804.6106323460072,white,61145.0,36.0,male,0.0
716.4550001589673,white,45663.0,45.0,female,0.0
1115.4928223990523,hispanic,25289.0,41.0,male,0.0
675.7222551835113,other,15446.0,33.0,male,0.0
576.9131550245036,black,49317.0,50.0,female,0.0
497.86321543235965,white,20735.0,26.0,male,0.0
730.1775735546331,white,32997.0,49.0,female,0.0
533.5358517333451,black,19460.0,50.0,female,0.0
713.9481551682971,white,26523.0,34.0,male,0.0
772.2719116578003,hispanic,24767.0,31.0,male,0.0
708.754306023438,white,17724.0,34.0,male,0.0
912.1377490802956,white,26214.0,40.0,male,0.0
752.9558229806855,other,39247.0,50.0,female,0.0
755.4180309314257,white,34761.0,49.0,female,0.0
841.4951751639575,white,52367.0,58.0,female,0.0
773.9017055680564,hispanic,28635.0,52.0,female,0.0
763.3396053226351,white,85413.0,34.0,male,0.0
793.0536236190337,white,40139.0,52.0,female,0.0
774.262571668705,asian,11941.0,36.0,male,0.0
767.2272842154424,white,12205.0,50.0,female,0.0
777.1561076401536,white,21570.0,50.0,female,0.0
710.8558145918502,white,18529.0,47.0,female,0.0
856.0657143974798,asian,15361.0,51.0,female,1.0
646.0321113502006,black,25029.0,32.0,male,0.0
798.7090482810073,other,177831.0,36.0,male,0.0
574.5176641787008,black,86463.0,51.0,female,0.0
807.8072329158506,white,157433.0,51.0,female,0.0
527.0338274894468,black,25055.0,48.0,female,0.0
680.6939461461645,white,26116.0,32.0,male,0.0
776.0384550911181,white,30795.0,50.0,female,0.0
857.4060120258343,white,48231.0,38.0,male,0.0
